Order,Name,Genre,Size,Time,Date Modified,Date,Time,Diff,Diff #,Diff Sum,Language,# of Words,Curse,Comments
1,Home 27,Voice Memo,21064,2,2/21/2019 23:47,02/21/19,23:47,0:05,0.003472222,13.49027778,EN,1,,
2,Home 26,Voice Memo,47437,5,2/21/2019 23:42,02/21/19,23:42,2:57,0.122916667,13.48680556,EN,2,,
3,Westside Market 6,Voice Memo,21520,2,2/21/2019 20:45,02/21/19,20:45,16:35,0.690972222,13.36388889,EN,2,,
4,Home 25,Voice Memo,25793,3,2/21/2019 4:10,02/21/19,4:10,11:04,0.461111111,12.67291667,EN,1,,
5,Brownie's Caf‚,Voice Memo,26718,3,2/20/2019 17:06,02/20/19,17:06,10:22,0.431944444,12.21180556,EN,5,,
6,Home 24,Voice Memo,36144,4,2/20/2019 6:44,02/20/19,6:44,0:54,0.0375,11.77986111,TR,3,,
7,Columbia University Department of Computer Science 73,Voice Memo,20673,2,2/20/2019 5:50,02/20/19,5:50,0:37,0.025694444,11.74236111,TR,1,,
8,Columbia University Department of Computer Science 72,Voice Memo,21500,2,2/20/2019 5:13,02/20/19,5:13,9:43,0.404861111,11.71666667,EN,1,,
9,Columbia University Department of Computer Science 71,Voice Memo,28208,3,2/19/2019 19:30,02/19/19,19:30,6:41,0.278472222,11.31180556,EN,2,,
10,Columbia University Department of Computer Science 70,Voice Memo,19963,2,2/19/2019 12:49,02/19/19,12:49,10:21,0.43125,11.03333333,EN,1,,
11,Columbia University Department of Computer Science 69,Voice Memo,28359,3,2/19/2019 2:28,02/19/19,2:28,1:10,0.048611111,10.60208333,EN,1,,
12,Avery Architectural & Fine Arts Library 7,Voice Memo,16704,1,2/19/2019 1:18,02/19/19,1:18,1:18,0.054166667,10.55347222,EN,1,,
13,Columbia University Department of Computer Science 68,Voice Memo,21025,2,2/19/2019 0:00,02/19/19,0:00,3:30,0.145833333,10.49930556,TR,1,,
14,Columbia University Department of Computer Science 67,Voice Memo,26585,2,2/18/2019 20:30,02/18/19,20:30,10:07,0.421527778,10.35347222,EN,1,,
15,Home 22,Voice Memo,27444,3,2/18/2019 10:23,02/18/19,10:23,0:00,0,9.931944444,TR,1,,
16,Home 23,Voice Memo,18480,2,2/18/2019 10:23,02/18/19,10:23,5:14,0.218055556,9.931944444,TR,1,,
17,Home 21,Voice Memo,46647,5,2/18/2019 5:09,02/18/19,5:09,0:03,0.002083333,9.713888889,TR,3,,
18,Home 20,Voice Memo,19887,2,2/18/2019 5:06,02/18/19,5:06,0:03,0.002083333,9.711805556,TR,1,,
19,Home 19,Voice Memo,35353,4,2/18/2019 5:03,02/18/19,5:03,0:15,0.010416667,9.709722222,TR,2,,
20,Home 18,Voice Memo,18557,2,2/18/2019 4:48,02/18/19,4:48,0:11,0.007638889,9.699305556,TR,1,,
21,Home 17,Voice Memo,74769,8,2/18/2019 4:37,02/18/19,4:37,0:06,0.004166667,9.691666667,TR,3,,
22,Home 16,Voice Memo,28478,3,2/18/2019 4:31,02/18/19,4:31,0:02,0.001388889,9.6875,TR,1,,
23,Home 15,Voice Memo,489635,60,2/18/2019 4:29,02/18/19,4:29,0:02,0.001388889,9.686111111,TR,15,,
24,Westside Market 5,Voice Memo,42889,5,2/18/2019 4:27,02/18/19,4:27,0:01,0.000694444,9.684722222,TR,1,,
25,Westside Market 3,Voice Memo,74660,9,2/18/2019 4:26,02/18/19,4:26,0:00,0,9.684027778,TR,4,,
26,Westside Market 4,Voice Memo,58723,6,2/18/2019 4:26,02/18/19,4:26,0:02,0.001388889,9.684027778,TR,2,,
27,Tom's Restaurant 2,Voice Memo,109047,13,2/18/2019 4:24,02/18/19,4:24,0:02,0.001388889,9.682638889,TR,3,,
28,Alfred Lerner Hall 4,Voice Memo,254611,31,2/18/2019 4:22,02/18/19,4:22,0:03,0.002083333,9.68125,TR,7,,
29,2950 Broadway,Voice Memo,79042,9,2/18/2019 4:19,02/18/19,4:19,0:00,0,9.679166667,TR,1,,
30,2950 Broadway 2,Voice Memo,13857,1,2/18/2019 4:19,02/18/19,4:19,0:01,0.000694444,9.679166667,TR,3,,
31,Columbia University Department of Computer Science 66,Voice Memo,34168,4,2/18/2019 4:18,02/18/19,4:18,2:59,0.124305556,9.678472222,TR,2,,
32,Columbia University Department of Computer Science 65,Voice Memo,14998,1,2/18/2019 1:19,02/18/19,1:19,9:33,0.397916667,9.554166667,TR,1,,
33,Columbia University Department of Computer Science 64,Voice Memo,25655,3,2/17/2019 15:46,02/17/19,15:46,4:15,0.177083333,9.15625,EN,1,,
34,Home 14,Voice Memo,24104,2,2/17/2019 11:31,02/17/19,11:31,12:46,0.531944444,8.979166667,TR,1,,
35,Columbia University Department of Computer Science 63,Voice Memo,15291,1,2/16/2019 22:45,02/16/19,22:45,2:13,0.092361111,8.447222222,EN,1,,
36,Columbia University Department of Computer Science 62,Voice Memo,25214,2,2/16/2019 20:32,02/16/19,20:32,6:18,0.2625,8.354861111,EN,1,,
37,Columbia University Department of Computer Science 61,Voice Memo,27970,3,2/16/2019 14:14,02/16/19,14:14,2:48,0.116666667,8.092361111,EN,1,,
38,Home 13,Voice Memo,16981,1,2/16/2019 11:26,02/16/19,11:26,9:48,0.408333333,7.975694444,TR,1,,
39,Avery Architectural & Fine Arts Library 6,Voice Memo,17471,2,2/16/2019 1:38,02/16/19,1:38,1:08,0.047222222,7.567361111,EN,2,,
40,Avery Architectural & Fine Arts Library 5,Voice Memo,15256,1,2/16/2019 0:30,02/16/19,0:30,0:12,0.008333333,7.520138889,EN,1,,
41,Avery Architectural & Fine Arts Library 4,Voice Memo,14525,1,2/16/2019 0:18,02/16/19,0:18,0:09,0.00625,7.511805556,EN,1,,
42,Avery Architectural & Fine Arts Library 3,Voice Memo,18248,2,2/16/2019 0:09,02/16/19,0:09,0:13,0.009027778,7.505555556,EN,2,,
43,Avery Architectural & Fine Arts Library 2,Voice Memo,19587,2,2/15/2019 23:56,02/15/19,23:56,0:04,0.002777778,7.496527778,EN,1,,
44,Avery Architectural & Fine Arts Library,Voice Memo,12579,1,2/15/2019 23:52,02/15/19,23:52,0:05,0.003472222,7.49375,EN,1,,
45,Suite 11,Voice Memo,17087,1,2/15/2019 23:47,02/15/19,23:47,1:02,0.043055556,7.490277778,EN,1,,
46,Suite 10,Voice Memo,14564,1,2/15/2019 22:45,02/15/19,22:45,0:04,0.002777778,7.447222222,EN,1,,
47,Suite 9,Voice Memo,14414,1,2/15/2019 22:41,02/15/19,22:41,1:07,0.046527778,7.444444444,EN,1,,
48,Columbia University Department of Computer Science 60,Voice Memo,16507,1,2/15/2019 21:34,02/15/19,21:34,0:58,0.040277778,7.397916667,EN,1,,
49,Columbia University Department of Computer Science 59,Voice Memo,17738,2,2/15/2019 20:36,02/15/19,20:36,0:01,0.000694444,7.357638889,EN,1,,
50,Columbia University Department of Computer Science 58,Voice Memo,43631,5,2/15/2019 20:35,02/15/19,20:35,1:02,0.043055556,7.356944444,EN,1,,
51,Columbia University Department of Computer Science 56,Voice Memo,14727,1,2/15/2019 19:33,02/15/19,19:33,0:00,0,7.313888889,EN,1,,
52,Columbia University Department of Computer Science 57,Voice Memo,10611,1,2/15/2019 19:33,02/15/19,19:33,0:01,0.000694444,7.313888889,EN,1,,
53,Columbia University Department of Computer Science 55,Voice Memo,23709,2,2/15/2019 19:32,02/15/19,19:32,0:13,0.009027778,7.313194444,EN,1,,
54,Columbia University Department of Computer Science 54,Voice Memo,19502,2,2/15/2019 19:19,02/15/19,19:19,0:41,0.028472222,7.304166667,EN,1,,
55,Columbia University Department of Computer Science 53,Voice Memo,33230,3,2/15/2019 18:38,02/15/19,18:38,2:37,0.109027778,7.275694444,EN,1,,
56,Columbia University Department of Computer Science 52,Voice Memo,17506,1,2/15/2019 16:01,02/15/19,16:01,0:13,0.009027778,7.166666667,EN,1,,
57,Columbia University Department of Computer Science 51,Voice Memo,13973,1,2/15/2019 15:48,02/15/19,15:48,2:01,0.084027778,7.157638889,EN,1,,
58,Columbia University Department of Computer Science 50,Voice Memo,14313,1,2/15/2019 13:47,02/15/19,13:47,0:38,0.026388889,7.073611111,EN,1,,
59,Columbia University Department of Computer Science 49,Voice Memo,23187,2,2/15/2019 13:09,02/15/19,13:09,4:07,0.171527778,7.047222222,TR,1,,
60,Columbia University Department of Computer Science 48,Voice Memo,19229,2,2/15/2019 9:02,02/15/19,9:02,7:20,0.305555556,6.875694444,EN,2,,
61,Home 12,Voice Memo,18137,2,2/15/2019 1:42,02/15/19,1:42,8:10,0.340277778,6.570138889,EN,1,,
62,Columbia University Department of Computer Science 47,Voice Memo,20563,2,2/14/2019 17:32,02/14/19,17:32,0:06,0.004166667,6.229861111,EN,1,,
63,Columbia University Department of Computer Science 46,Voice Memo,15618,1,2/14/2019 17:26,02/14/19,17:26,1:17,0.053472222,6.225694444,EN,1,,
64,Columbia University Department of Computer Science 45,Voice Memo,30780,3,2/14/2019 16:09,02/14/19,16:09,6:16,0.261111111,6.172222222,EN,2,,
65,Westside Market 2,Voice Memo,21427,2,2/14/2019 9:53,02/14/19,9:53,8:22,0.348611111,5.911111111,EN,1,,
66,Columbia University Department of Computer Science 44,Voice Memo,22877,2,2/14/2019 1:31,02/14/19,1:31,0:01,0.000694444,5.5625,EN,1,,
67,Columbia University Department of Computer Science 43,Voice Memo,28932,3,2/14/2019 1:30,02/14/19,1:30,0:48,0.033333333,5.561805556,TR,3,,
68,Columbia University Department of Computer Science 42,Voice Memo,17232,2,2/14/2019 0:42,02/14/19,0:42,0:01,0.000694444,5.528472222,EN,1,,
69,Columbia University Department of Computer Science 41,Voice Memo,18683,2,2/14/2019 0:41,02/14/19,0:41,0:34,0.023611111,5.527777778,EN,1,,
70,Columbia University Department of Computer Science 39,Voice Memo,24725,2,2/14/2019 0:07,02/14/19,0:07,0:00,0,5.504166667,EN,1,,
71,Columbia University Department of Computer Science 40,Voice Memo,24407,2,2/14/2019 0:07,02/14/19,0:07,0:28,0.019444444,5.504166667,EN,1,,
72,Columbia University Department of Computer Science 38,Voice Memo,20453,2,2/13/2019 23:39,02/13/19,23:39,0:03,0.002083333,5.484722222,TR,1,,
73,Columbia University Department of Computer Science 37,Voice Memo,26943,3,2/13/2019 23:36,02/13/19,23:36,0:04,0.002777778,5.482638889,EN,2,,
74,Columbia University Department of Computer Science 36,Voice Memo,17921,2,2/13/2019 23:32,02/13/19,23:32,0:02,0.001388889,5.479861111,EN,2,,
75,Columbia University Department of Computer Science 35,Voice Memo,24335,2,2/13/2019 23:30,02/13/19,23:30,0:30,0.020833333,5.478472222,EN,2,,
76,Columbia University Department of Computer Science 34,Voice Memo,25075,2,2/13/2019 23:00,02/13/19,23:00,0:12,0.008333333,5.457638889,EN,1,,
77,Columbia University Department of Computer Science 33,Voice Memo,24584,2,2/13/2019 22:48,02/13/19,22:48,0:28,0.019444444,5.449305556,EN,1,,
