OBJECTID,ID,ON,FROM,TO,ADDRESS,STREET,ROW,SITE,SIDE,ASSIGNED,COMMON,BOTANICAL,CULTIVAR,DBH,STEMS,COND,OBSERVE,FAILURE,TARGET,LIKELIHOOD,CONSEQ,RISK,NOTES,DATE,TIME,STAFF,XCOORD,YCOORD,UNIQUEID,EDITTIME,OHUTILITY,MAINT,MAINTSEC,SPACESIZE,INSPECT,AREA,GlobalID,long,lat
1,1,WASHINGTON ST,LAKE ST,ROBINSON AVE,401,WASHINGTON ST,99,1,Front,No,maple-Norway,Acer platanoides, ,31,1,Poor,Poor Root System,Probable,Medium,Somewhat Likely,Minor,Low, ,4/24/2015,10:46:35 AM,AH,622717.2462,971385.7492,AH 20150424104638,4/24/2015 10:46,FALSE,Tree Clean,None,99,FALSE,Delano-Hitch Recreation Park,{5C44DC43-4A7D-434A-9D83-C8F3C48C9194},622218.8332,974732.6334
2,2,WASHINGTON ST,LAKE ST,ROBINSON AVE,401,WASHINGTON ST,99,2,Front,No,maple-Norway,Acer platanoides, ,21,1,Poor,Cavity or Decay,Imminent,Medium,Likely,Minor,Moderate,hangers,4/24/2015,10:52:46 AM,AH,622719.1008,971369.985,AH 20150424105246,4/24/2015 10:52,FALSE,Tree Clean,None,99,FALSE,Delano-Hitch Recreation Park,{414147F8-5AAD-4E67-8A95-2F76C34812B0},627690.876,996925.8325
3,3,WASHINGTON ST,LAKE ST,ROBINSON AVE,401,WASHINGTON ST,99,3,Front,No,maple-Norway,Acer platanoides, ,18,1,Poor,Cavity or Decay,Probable,Medium,Somewhat Likely,Significant,Moderate, ,4/24/2015,10:54:39 AM,AH,622719.5645,971329.1836,AH 20150424105439,4/24/2015 10:54,FALSE,Removal,None,99,FALSE,Delano-Hitch Recreation Park,{44D44030-B7A8-4F57-8806-EF0992AD1ECF},622277.98,971479.9601
4,4,WASHINGTON ST,LAKE ST,ROBINSON AVE,401,WASHINGTON ST,99,4,Front,No,maple-Norway,Acer platanoides, ,23,1,Fair,Cavity or Decay,Imminent,Medium,Likely,Minor,Moderate,hangers,4/24/2015,10:55:39 AM,AH,622719.5645,971307.3919,AH 20150424105540,4/24/2015 10:55,FALSE,Tree Clean,None,99,FALSE,Delano-Hitch Recreation Park,{D6C7A67F-7FD3-4FA2-999F-B49F3BAB187B},623931.5801,973029.7399
5,5,WASHINGTON ST,LAKE ST,ROBINSON AVE,401,WASHINGTON ST,99,5,Front,No,maple-Norway,Acer platanoides, ,24,1,Poor,Cavity or Decay,Imminent,Medium,Likely,Minor,Moderate,hangers,4/24/2015,10:59:11 AM,AH,622760.1341,971252.9127,AH 20150424105911,4/24/2015 10:59,FALSE,Removal,None,99,FALSE,Delano-Hitch Recreation Park,{859EF901-EF18-4B4F-B4A9-BBE2242978F7},622683.2899,972220.23
6,6,WASHINGTON ST,LAKE ST,ROBINSON AVE,401,WASHINGTON ST,99,6,Front,No,zelkova-Japanese,Zelkova serrata, ,9,1,Fair,Poor Root System,Possible,Medium,Unlikely,Negligible,Low, ,4/24/2015,11:02:20 AM,AH,623075.2591,971136.2174,AH 20150424110220,4/24/2015 11:02,FALSE,Tree Clean,None,13,FALSE,Delano-Hitch Recreation Park,{8D89D50E-E40D-4115-BF2B-C3640BF42342},622682.9999,972202.2599
7,7,WASHINGTON ST,LAKE ST,ROBINSON AVE,401,WASHINGTON ST,99,7,Front,No,zelkova-Japanese,Zelkova serrata, ,7,1,Fair,Poor Structure,Possible,Medium,Unlikely,Negligible,Low, ,4/24/2015,11:03:43 AM,AH,623118.7294,971133.8191,AH 20150424110343,4/24/2015 11:03,FALSE,Tree Clean,None,17,FALSE,Delano-Hitch Recreation Park,{D4DA4B15-FAB2-4CCF-B6BE-3056288147EF},622724.4001,972186.96
8,8,WASHINGTON ST,LAKE ST,ROBINSON AVE,401,WASHINGTON ST,99,8,Front,No,zelkova-Japanese,Zelkova serrata, ,10,1,Fair,Poor Structure,Possible,Medium,Unlikely,Minor,Low, ,4/24/2015,11:04:57 AM,AH,623123.2264,971163.4988,AH 20150424110457,4/24/2015 11:04,FALSE,Tree Clean,None,30,FALSE,Delano-Hitch Recreation Park,{91C3A2C3-22CA-48D7-9CE5-C802BEC701A2},622728.7199,972222.3999
9,9,WASHINGTON ST,LAKE ST,ROBINSON AVE,401,WASHINGTON ST,99,9,Front,No,zelkova-Japanese,Zelkova serrata, ,12,1,Fair,Poor Structure,Possible,Medium,Unlikely,Minor,Low, ,4/24/2015,11:07:04 AM,AH,623127.1237,971207.8685,AH 20150424110705,4/24/2015 11:07,FALSE,Tree Clean,None,99,FALSE,Delano-Hitch Recreation Park,{FA216AC3-43D9-4DAF-A925-5D3139A1685A},623252.0201,973476.3
10,10,WASHINGTON ST,LAKE ST,ROBINSON AVE,401,WASHINGTON ST,99,10,Front,No,zelkova-Japanese,Zelkova serrata, ,13,1,Fair,Poor Structure,Possible,Medium,Unlikely,Minor,Low, ,4/24/2015,11:09:15 AM,AH,623130.5713,971255.6858,AH 20150424110916,4/24/2015 11:09,FALSE,Tree Clean,None,99,FALSE,Delano-Hitch Recreation Park,{CBA47B97-16FE-402F-BE7D-A5160EFC7065},622817.6899,973412.5101
